"gene_symbol","original_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"IGHV3-15","28448",557.594286788829,-22.0619527077682,2.21165348157533,-9.97532067819856,1.95468998981036e-23,3.8693088348296e-19
"UTY","7404",1315.17666309839,-26.0522562886567,2.88519644731888,-9.02962996258581,1.7225327077083e-19,1.70487674745429e-15
"FCRL5","83416",64.5506218804834,-19.9051217756085,2.26832043733539,-8.77526889410351,1.70495982908465e-18,8.43741995418264e-15
"IGHV3-21","28444",235.961146218872,-19.2395345036596,2.18756833145652,-8.79494104344139,1.43123109718453e-18,8.43741995418264e-15
"IGKV1D-33","28896",492.988786785974,-21.2298198814018,2.49507522600921,-8.50868930126737,1.75910516440329e-17,6.96429734587261e-14
"P2RY10","27334",25.9307834072919,-18.3617708074505,2.18254639731886,-8.41300365023486,3.99642524908526e-17,1.31848729676071e-13
"IGHV4-4","28401",118.589452101531,-19.5076582668566,2.39358639511939,-8.14997039865925,3.64013365220465e-16,1.02937779493416e-12
"ADGRG7","84873",54.9607984048541,-20.3156848249594,2.5043726530671,-8.11208539594889,4.97583102770717e-16,1.23120718991829e-12
"MUC2","4583",216.463895951037,-21.1987263839349,2.62593656738573,-8.0728250054568,6.86900227213178e-16,1.51079888863165e-12
"IGKV1-16","28938",495.666358533301,-20.5513848497862,2.60429149505958,-7.89135351736656,2.9892655506841e-15,5.91725115757918e-12
"IGLV2-18","28814",106.869159637003,-18.5512783346455,2.35450090595113,-7.87907037442888,3.29825703228906e-15,5.93536345037836e-12
"IGKJ5","28946",146.766613778458,-19.7174079419839,2.56593087831102,-7.68430985754475,1.53823951190699e-14,2.53745426151657e-11
"IGHV1OR15-1","388077",39.7948519110851,-19.0190832973165,2.52547264931909,-7.53090052368783,5.03915686021231e-14,7.67308538830021e-11
"PKP1","5317",97.174779033101,-20.2583396922612,2.72523131749213,-7.43362207906217,1.05663581759886e-13,1.49400757209781e-10
"BTLA","151888",16.6396279954094,-19.7494877995204,2.68624287600938,-7.35208568663003,1.9513763929774e-13,2.57516637993251e-10
"LOC102724760","102724760",36.1391606549538,-19.0192154640889,2.60766944771264,-7.29356839332988,3.01851375199655e-13,3.73446748254823e-10
"MUC17","140453",5114.17471311039,-20.390722217147,2.91204503616867,-7.00220015964269,2.51973737976087e-12,2.93401184896273e-09
"TIMD4","91937",27.4323509983833,-18.5099481689922,2.87140417019858,-6.44630538643818,1.14609616879078e-10,1.26038742562297e-07
"ELK2AP","2003",26.4442559220939,-18.0486547877185,2.85760415859279,-6.31600942119514,2.68403693213774e-10,2.79634268798245e-07
"KRT16","3868",1877.76916260321,-16.6753503873141,2.68872882124404,-6.20194578774912,5.57692904302868e-10,5.51976552033764e-07
"IGKV1-37","28931",50.699372433827,-17.6072202706078,3.12461017374439,-5.63501342297306,1.75044702417703e-08,1.65000470683735e-05
"ANKRD30A","91074",19.381540553117,-20.7195221543546,3.70023969034709,-5.59950810981412,2.14960877696996e-08,1.93415935182366e-05
"KDM5D","8284",1730.37943626805,-13.2058941204116,2.48046895335025,-5.32395057901252,1.01537503899769e-07,8.73884734650403e-05
"KLHL14","57565",7.29433098311245,-17.1451080586307,3.37329426690136,-5.08260077600044,3.72301668318133e-07,0.000307071313514893
"RPS4Y1","6192",2847.00624690239,-12.9896900400006,2.5655938497641,-5.06303444763675,4.12635257279891e-07,0.000326724596714218
"IGLV3-9","28804",41.1702315762278,-15.5005671114826,3.07330409746205,-5.04361645314665,4.56814532054862e-07,0.000347793987001
"UGT3A2","167127",6.6327081919077,-16.443854664631,3.36041392433805,-4.89340153769009,9.91079087555456e-07,0.000726607797709639
"USP9Y","8287",2713.26011126458,-13.3534625937903,2.7393610321193,-4.87466326534531,1.08994211812921e-06,0.000770550151013131
"IGKV1-5","28299",1667.33830086029,-9.84401482405066,2.03782202061209,-4.83065484840225,1.36084730737564e-06,0.000928895601706923
"CYP2C18","1562",322.93468167147,-8.43699419803285,1.76625587790661,-4.77676779653948,1.78135272161234e-06,0.00117539590414388
"DDX3Y","8653",1315.02813806926,-11.9818034322563,2.52209824267342,-4.75072827438934,2.02685341943501e-06,0.00129424398186181
"COL22A1","169044",149.037683381901,-7.2345744628026,1.52707335283715,-4.73754220736121,2.16325811383531e-06,0.0012976271019203
"SMIM24","284422",102.908030891549,-8.45101870660959,1.78370172654176,-4.73791025755995,2.15933392972747e-06,0.0012976271019203
"IGLV2-14","28815",1094.53305254287,-8.91790748565392,1.9194382605171,-4.64610280470881,3.38264479037824e-06,0.00196939569486874
"APOC1","341",488.08736655247,-6.20247611207848,1.35608752411315,-4.57380220803578,4.78952009683788e-06,0.00270881572334016
"DES","1674",3328.13990668945,9.65747670127163,2.11835183384275,4.55895784023407,5.1408089132257e-06,0.00282673090103619
"SPMIP1","100130705",5.28228647078158,5.1287600673386,1.13205396665141,4.53049078791653,5.88468208276232e-06,0.00314830491427784
"CDSN","1041",69.3130364078287,-6.7838875426949,1.51250011785886,-4.48521455475876,7.28406009122289e-06,0.0037944202501515
"ZNF534","147658",8.86727114209881,6.56893893927365,1.47316357082143,4.45906963040828,8.23161785996238e-06,0.00417807373174245
"TXLNGY","246126",475.968845986376,-11.9227863537637,2.67760798891146,-4.45277516467625,8.47675036906111e-06,0.00419493183888912
"CRISP3","10321",395.242382353241,-9.34456730830811,2.11360858649261,-4.42114371034743,9.81798464532556e-06,0.00474017087937121
"SPEG","10290",291.823400823473,5.01902235713113,1.14452959762916,4.38522723005835,1.15864765047721e-05,0.00521259778209006
"CYP2C19","1557",269.509273770551,-9.05245324745779,2.06358970666929,-4.38675053388824,1.15056622572638e-05,0.00521259778209006
"SLC5A1","6523",1075.71332312224,-5.44098011105632,1.23853517321866,-4.39307678030371,1.11757635062908e-05,0.00521259778209006
"POTEF","728378",237.488064550433,7.02147905691855,1.6061166976728,4.37171163657809,1.2327627448553e-05,0.00542278634098015
"MYH1","4619",48.8998220270381,-7.07609587757511,1.62101061003402,-4.36523723766779,1.26984865115709e-05,0.00546449001079449
"CYP2C9","1559",249.067878906634,-8.69905397465198,1.99649420173957,-4.35716465746427,1.31758147764722e-05,0.00554926071277163
"POTEE","445582",117.95890628261,5.26133947275158,1.21836111550089,4.31837441774278,1.57182616739237e-05,0.00635149760900137
"BNIP5","389384",192.131093189821,-6.69660117303711,1.55074316517685,-4.31831738705322,1.57223229523146e-05,0.00635149760900137
"IGHV7-4-1","57289",50.1578017639809,-17.7505374687371,4.11830144355817,-4.31015983458481,1.63136592136784e-05,0.00645857768269527
"IGKJ4","28947",421.222085615449,-7.88606270639803,1.83484602098889,-4.29794250644958,1.72390862002686e-05,0.00656245598719839
"TREH","11181",82.9395781131556,-2.49972282110754,0.581384798778799,-4.29960127330163,1.71105673234598e-05,0.00656245598719839
"MYH11","4629",28036.1264596503,5.96771963129124,1.39483947668839,4.27842754024982,1.88218239486131e-05,0.00702977368043012
"G0S2","50486",120.584857188389,4.52706694312257,1.06027834995188,4.26969667288596,1.95738983997669e-05,0.00717528368191456
"ABRACL","58527",42.771831847939,-5.08544715651992,1.19914577715404,-4.24089151911899,2.22633725157054e-05,0.00786970462407836
"CDH17","1015",533.662569020849,-7.55039806017667,1.77928105555085,-4.24351062279992,2.20049951296784e-05,0.00786970462407836
"MITD1","129531",190.171422709858,-1.49168344976177,0.352543283096637,-4.23120655330393,2.32441096579944e-05,0.00807223071368421
"SSX2IP","117178",246.421511045528,-2.44220438106596,0.57859583200151,-4.22091595893071,2.43311641694054e-05,0.00816331177514203
"KRT16P2","400578",12.4501781855177,-14.0914437760575,3.33603230131605,-4.22401299007162,2.39990207811491e-05,0.00816331177514203
"MYOCD","93649",112.802971347812,7.04459940032523,1.69053773779064,4.16707609824303,3.08531524381507e-05,0.0101789692085532
"STRA6","64220",477.538153627572,-8.16218462119996,1.96196323331174,-4.16021283305214,3.17951163399145e-05,0.01031777586801
"CSPG4","1464",347.89547859842,4.85170189905954,1.17463443230543,4.13039305304309,3.62143536512147e-05,0.0115623085568677
"FBXW10","10517",26.9083360051868,-7.09396109185555,1.71989152835304,-4.1246561047072,3.71289099629358e-05,0.0116661392494653
"FLNC-AS1","110806300",54.9783225371656,6.18239991290441,1.5085296904418,4.09829514929453,4.16204354637905e-05,0.0127274085053787
"MS4A8","83661",142.981897634666,-7.35173715075959,1.79427062762303,-4.09734018802886,4.17924502576213e-05,0.0127274085053787
"SPOCD1","90853",23.2532501868189,5.57011610424107,1.36979259346703,4.06639379626282,4.77462290389058e-05,0.0143202515731082
"DUOXA2","405753",348.131875784735,-8.03697557176032,1.97827655798761,-4.06261477411222,4.8526074820443e-05,0.0143369201652339
"CGB7","94027",54.2611511448894,6.73689194410521,1.66488879172006,4.04645161743509,5.19998662712569e-05,0.015137314012346
"MAP4K1","11184",198.801203698011,-5.4568236076461,1.35112280155553,-4.03873252776412,5.3740802659582e-05,0.0154173795456004
"CDKN2A","1029",42.4916207971384,-6.03439213354286,1.49855152126929,-4.0268165944883,5.65370976685659e-05,0.0159878835478466
"CYP4F11","57834",163.924946811195,-7.4631212894033,1.85506612554201,-4.02310256580354,5.74364683870519e-05,0.0160134491791788
"TMEM40","55287",25.9749701656291,9.7809093546784,2.43687469255198,4.013710423672,5.97716685688192e-05,0.0162175390150759
"SEPTIN7P9","285961",15.8048140781253,-6.27264856162761,1.56285980592274,-4.01357085124095,5.98070395605225e-05,0.0162175390150759
"IGKV1-33","28933",736.656963352437,-8.44142400147802,2.11042574379333,-3.99986781165075,6.33778746151007e-05,0.0169535814595394
"UBD","10537",964.355668560784,-4.44407737500007,1.11274809940174,-3.99378563521196,6.50266580072914e-05,0.0171627026033911
"RGS7BP","401190",38.2094214183054,-6.02688711930183,1.51407235459999,-3.98058065124247,6.87471346299806e-05,0.0179059148684272
"JPH2","57158",99.8004292993366,7.05551009893711,1.7784329051057,3.96726245824705,7.27029153332863e-05,0.0184506949874667
"TFF1","7031",1455.39939306752,-8.29520064675963,2.08989250951451,-3.96919966409499,7.21144374855439e-05,0.0184506949874667
"CTSE","1510",3090.103621777,-6.54628387969822,1.65210321675682,-3.96239400377718,7.4201953292719e-05,0.0185761759238426
"HOXD8","3234",22.6206802289631,-5.69567886092208,1.43844666637739,-3.95960378236767,7.50742143928978e-05,0.0185761759238426
"PIGR","5284",6197.58243713104,-5.21573685863296,1.32304220872795,-3.94223013009365,8.07274614750336e-05,0.0197283962950406
"IGHV3-33","28434",555.703995212174,-6.91399393372384,1.76391622823529,-3.91968383931756,8.8665205974182e-05,0.021255561335849
"MYH2","4620",42.6832329434425,-6.91970397282447,1.76593361129184,-3.91843947506185,8.91241015850196e-05,0.021255561335849
"FAM106A","80039",30.3844906045128,-6.80425879306109,1.7407379132104,-3.90883586864158,9.27419436223819e-05,0.0215979620471182
"IGLV2-23","28813",603.766785828166,-7.71728041841835,1.97342005147652,-3.91061214394992,9.20625036904906e-05,0.0215979620471182
"CLDN24","100132463",15.832210409728,-5.76924324170763,1.47927693149083,-3.9000427295877,9.61757125169203e-05,0.0218340152432089
"LDB3","11155",180.584191588538,6.00639451749579,1.53910997403042,3.90251159361083,9.51996767754134e-05,0.0218340152432089
"PNLIPRP3","119548",422.994325411837,13.0619085144742,3.35344048300299,3.89507688616479,9.81675855845209e-05,0.0218340152432089
"LOC284009","284009",7.50174318243158,-6.09865528069683,1.56527559985108,-3.89621820034572,9.77063700489961e-05,0.0218340152432089
"AKR1B10","57016",836.752538214584,-7.78178053701163,2.00648625434698,-3.87831240814768,0.000105183588796986,0.0230045503452003
"ZFY","7544",450.598326718726,-10.7257183624284,2.76650327759661,-3.87699463408783,0.000105754689639466,0.0230045503452003
"IGKV1-12","28940",687.910481260831,-7.31391252987302,1.89120068813788,-3.86733812849576,0.000110029817010124,0.0236743503012545
"MORN3","283385",9.11604160612355,-4.82561342543829,1.25295301563079,-3.85139216334372,0.000117448245899268,0.0247328513571917
"HROB","78995",26.2205763734225,-5.24801589397635,1.36379833778739,-3.84808790901642,0.000119043338623312,0.0248048725057732
"LOC105369755","105369755",45.1386419135607,-2.88117420518746,0.752590965391674,-3.82834014448739,0.000129010380915876,0.0263274277343274
"WFDC1","58189",38.715084423816,6.63509141997997,1.73218667498902,3.83047134340878,0.000127898028538578,0.0263274277343274
"IGKV2D-28","28883",606.311469705772,-6.07485699752152,1.5910228044533,-3.81820862687694,0.000134424227063527,0.0271523221910462
"CCDC87","55231",8.0665809735778,-5.56018106041403,1.45806829245502,-3.81338863836897,0.000137074304853561,0.0274079380260227
"PTGS2","5743",395.141192560423,5.59206560188848,1.46751486991151,3.8105682719424,0.000138647715036425,0.0274453151914603
"MAPK1IP1L","93487",275.418909952079,1.47213561395985,0.386777614708016,3.80615515991324,0.000141143854991555,0.0276627981144341
"IGLJ2","28832",681.233613522466,-7.76631170702701,2.04520498821019,-3.79732679696987,0.000146264907478964,0.0283854298386871
"CASQ2","845",91.2670071684251,6.86442116709231,1.81222296472531,3.78784581186057,0.000151959100229465,0.0292041785343908
"MIR34AHG","106614088",12.8011879558661,-5.780986714618,1.52813932024748,-3.78302333957467,0.000154934879957608,0.0294011840560625
"SGO1","151648",24.671924540694,-6.1514267077448,1.62777898612559,-3.77903066704793,0.000157440035864745,0.0294011840560625
"FOXS1","2307",46.1735026271293,-6.04850890954487,1.59970035270384,-3.78102617738477,0.000156183248794129,0.0294011840560625
"IGHV3-74","28408",223.801957945393,-6.79580139021111,1.80089852331893,-3.77356153176633,0.000160933503580644,0.0297726981624191
"H2AC4","8335",76.7157285205819,-5.19509153548879,1.38172619890275,-3.75985599724048,0.000170011190502731,0.0311608473703847
"KY","339855",15.2372876029333,-4.89653065749941,1.30515275959786,-3.7516916096535,0.000175645438089016,0.0318981784125879
"PRKY","5616",139.809950284793,-7.48697320594926,1.99963288583169,-3.74417387261325,0.000180988291735245,0.0325696657718107
"LRRC20","55222",36.7372498339581,-2.73737279214094,0.732979004785338,-3.7345855396535,0.000188024577272885,0.0335310496136645
"IGKV2-28","28921",621.646580464363,-5.8767289353145,1.57661646426994,-3.72743090567417,0.000193441568627063,0.0341890700979707
"MUC5B","727897",39606.0213772509,-5.00189848066183,1.34327752135566,-3.72365233627509,0.000196361286158405,0.0343979792876604
"LOC105373796","105373796",16.1771995452488,-5.1296354225317,1.37971468509223,-3.71789579248322,0.000200889099423961,0.0348824537113799
"RBPMS2","348093",52.9808957640331,4.87589696536832,1.31884105049496,3.69710736827488,0.000218070127121431,0.0375365057945107
"SERTAD4","56256",31.6798352090566,-4.50695844320128,1.2250765508385,-3.67891985208312,0.000234223854823651,0.0399694931571911
"CENPK","64105",58.0460412299263,-5.03768280509119,1.37233298646075,-3.67088953977809,0.000241707789523288,0.0405475058780804
"DHRS2","10202",190.385429821045,-5.63505098313643,1.53499982021716,-3.67104341571795,0.000241562298674354,0.0405475058780804
"TCN1","6947",3264.19581986728,-5.39234318084243,1.47086386175659,-3.66610623936507,0.000246271646942077,0.0409659432875497
"CNN1","1264",356.079726728785,5.44830809681891,1.49028514192184,3.65588298746165,0.000256298250155701,0.0422785321819342
"NUDT4","11163",1186.67096137711,1.2057338870108,0.331104771594256,3.64154790402216,0.000271003683920642,0.0442981554785352
"FAM106C","100129396",35.6633364116518,-6.08670322033457,1.67233561575532,-3.63964216452179,0.000273017174457251,0.0442981554785352
"ZNF786","136051",75.9378754293371,-1.80294155362551,0.498366023191162,-3.61770560135867,0.000297226201691051,0.0478340866867834
"DUOX2","50506",4573.88084310498,-5.7349769093148,1.58962194548156,-3.6077615345059,0.000308850153054451,0.0493039417718778
"CRACD","57482",341.019738289259,-3.55576936960617,0.986853106054859,-3.60313946198241,0.000314396731062386,0.0497878663310394
"S100A8","6279",83.4333816449568,5.43406727983839,1.50920196093944,3.60062299180676,0.00031745561491379,0.0498732848985593
